recipe_tag	coefficient
bias	0.35517290998854406
alfredo	0.07566893084769422
almond	0.061000188241508636
american	0.014095709830445469
appetizer	0.02669747514375996
appetizers	0.000977796088686752
apple	-0.009275459113269248
asiancuisine	-0.026685693101928525
asparagus	-0.018082952711665858
avocado	-0.018978401975439447
bacon	0.33586184235342675
baked	0.08556441871198059
bakeddishes	0.05537928793381429
bakery	-0.023171117319275524
baking	0.11223865393622451
beans	0.0018212989654743082
beef	0.004381775491989029
bellpeppers	-0.0018205864591892159
berries	0.022452689146435178
blackbeans	-0.0018205864591892159
blackvinegar	0.007790182905630537
blueberry	0.007789601688218056
boiledeggs	-0.03336041066913854
bokchoy	-0.03336041066913854
braided	-0.004083876021164377
bread	-0.0007189708217233155
breaded	0.0032180754103206537
breakfast	0.0901722045164166
breakfastpastry	0.04219217989395313
brioche	-0.00823458326785798
broiling	0.06471664834824435
brownies	0.026319090211462774
brownsugar	0.03296404990137021
brunch	0.0340440194392921
burger	-0.0025464310125385436
burritos	-0.008089421496957253
buttery	0.01918819189668137
cake	0.01086268118360121
carrots	-0.03336041066913854
casserole	0.05764713290253048
celebration	0.006891124620607263
cheese	0.031902036716657964
cheesy	0.04866231487757154
cherry	0.010225754884620918
chicken	0.014084778854163899
chickpeas	-0.0025464310125385436
chilioil	0.010097435322472577
chilipowder	-0.0018205864591892159
chinese	-0.051493052285893126
chinesecookingwine	0.002307252416842039
chinesecuisine	0.024563649854575167
chocolate	0.17795562971564985
chocolatechip	0.008487590102479773
chocolatecroissant	0.04219217989395313
christmas	0.01316261782015294
cilantro	0.005207080554278492
cinnamon	0.02343739482256737
citrus	-0.03508535775659021
classic	-0.013076318681591537
cloves	-0.00981437737239361
cobbler	0.03271738341525454
cocoapowder	0.022698196483595688
coffee	0.030406909130816673
cold	-0.051493052285893126
coldnoodles	-0.04164665244048693
comfortfood	0.0010142354575269075
condiment	-0.06675228214538229
cookies	-0.028314134740712232
corn	0.006891124620607263
cranberry	0.04908277025293375
creamcheese	0.0037070164330955807
creamy	0.03339877744433602
crisp	-0.01007853988988815
crispy	-0.005966090058015405
croissant	0.030406909130816673
croissants	-0.01961869717149176
crumble	-0.0037139407703365734
crust	-0.00981437737239361
cucumber	-0.04164665244048693
cumin	-0.0018205864591892159
cupcakes	0.05458384865571219
custard	-0.03918492439916168
custardy	0.017817205486368604
customizable	-0.0036517026549318797
danish	0.0037070164330955807
dashibroth	-0.02039246713457765
dates	0.03075314753304514
decadent	0.0414108057887203
dessert	0.2329272023694756
dinner	0.05764831593187353
dip	-0.013570887979632637
donuts	-0.016085710707584966
easterneuropean	-0.004083876021164377
easy	0.0732096014107121
easydinner	0.006612378720944914
egg	0.04672275160623865
eggs	0.004884936687183289
eggwhites	0.013004608061593207
fajitaseasoning	0.005813587891695985
fall	0.0034950207905349584
familyfriendly	0.06425951162347539
fastfood	0.0032180754103206537
fetacheese	-0.005161657742532329
filling	0.03617940779057305
fingerfood	-0.02726833766822856
flaky	0.041126751582889795
french	0.07846850849532624
frenchcuisine	-0.06055163597210855
frenchpastry	0.049427971705494275
fresh	0.03137637672225182
fried	-0.05818406092376682
friedfood	-0.09178260481834943
friedrice	0.03983111044550493
fries	0.030132610067541366
frosting	0.0654465298393134
fruit	0.009573814894178093
fudgy	0.045494681809884675
gamedayfood	0.08088535607594351
ganache	-0.011835515299994478
garlic	-0.004137223031964862
ginger	0.002307252416842039
glutenfree	0.07661425600706054
goldenbrown	0.007227890152543898
greenbeans	-0.06343684387018766
greenonion	-0.0064444754488069
greenonions	-0.041449832166095796
grill	-0.0025464310125385436
grilled	0.015308987463460155
grilling	0.06471664834824435
groundbeef	0.07924199758799445
gruyere	-0.09241646023917902
gruyerecheese	-0.04897273084773958
guacamole	0.005814300397981077
hamandcheese	0.0037070164330955807
hamburger	-0.03413379866585892
handheld	-0.0036517026549318797
handtorndough	-0.07255080000884853
hawaii	-0.03413379866585892
hawaiian	-0.034659043751087484
healthy	-0.10007707186583803
herbs	0.0326845760732458
holiday	0.020053742440760206
homemade	0.018406253685961705
indulgent	0.05458384865571219
italian	0.045279083484724134
italiancuisine	0.07566893084769422
jalapenos	0.030132610067541366
japanesecuisine	-0.024617276907760458
juicy	0.0180841721998925
ketchup	-0.03413379866585892
keto	0.03896217122135329
kidfriendly	-0.02726833766822856
koreancuisine	-0.07255080000884853
laminateddough	-0.023171117319275524
lasagna	0.030312655594441164
lattice	-0.00981437737239361
lettuce	-0.015621219307362787
lime	0.0028998281374364534
loadednachos	0.05075274600840214
lowcarb	0.03896217122135329
lunch	0.05764831593187353
macandcheese	0.015581571957967411
maple	-0.016085710707584966
maplesyrup	0.05020868360247635
masa	0.006891124620607263
mayonnaise	-0.03413379866585892
meal	0.0032180754103206537
mealprep	0.04496602175378428
meat	0.055239993521899775
meatsauce	0.014120958728144577
mexican	0.04639318877496648
mexicancuisine	-0.01871683851880626
mexicanfood	0.05075274600840214
middleeastern	0.020292961104053615
miso	-0.03336041066913854
muffins	0.04496602175378428
mushroom	-0.07586843712022197
mushrooms	-0.03336041066913854
nachos	0.09567052239724108
noodles	-0.014567268484306853
noodlesoup	-0.03336041066913854
nori	-0.034659043751087484
numbing	0.019080719365786668
nutmeg	0.0231496725289766
oat	0.009709805125439081
oats	-0.0029561025314106004
onion	0.01689938714464467
onions	0.003993001432506769
onthego	-0.034659043751087484
oven	0.04219217989395313
oysters	-0.08292410369566736
pacificislands	-0.03413379866585892
pancakes	0.05020868360247635
parmesan	-0.09241646023917902
partyfood	0.0650351774243782
pasta	0.12240862756224118
pastasauce	0.014120958728144577
pastry	0.047325802499003415
pastrycrust	-0.06678993633410818
peach	0.054993592047040796
peanutbutter	0.06906742356718049
peanutdressing	0.008516483889751509
peanuts	0.007790182905630537
peppers	0.005813587891695985
pickledvegetables	-0.13253594066402158
pie	0.004281332458051859
piecrust	-0.005161657742532329
pork	0.007790182905630537
porkbelly	-0.03336041066913854
potatoes	-0.008089421496957253
protein	0.04496602175378428
puffpastry	0.04219217989395313
quiche	-0.03111033696957654
quick	0.05061466189643062
ramen	-0.03336041066913854
refreshing	-0.026210347307341727
relish	-0.03508535775659021
rhubarb	-0.026210347307341727
rice	-0.034659043751087484
ricevinegar	-0.0064444754488069
rich	0.0414108057887203
ricotta	0.04832936735333752
salad	-0.01081531521058585
salsa	0.0229486322179217
salty	0.015581571957967411
sandwich	0.04672275160623865
sauce	0.04824797557674315
savory	-0.0329618124104535
scallions	0.010097435322472577
scallops	0.04944278612931907
seafood	-0.041315469226952464
sesame	-0.051493052285893126
sesameoil	-0.0064444754488069
sesameseeds	-0.0064444754488069
shrimp	0.06471664834824435
sichuancuisine	0.026870902271417207
sichuanpeppercorns	0.010097435322472577
sidedish	-0.016974307752327673
sidedishes	-0.06343684387018766
skewers	0.06471664834824435
smoky	0.07349685460336483
snack	-0.07842580506507281
snacks	-0.0333042338026463
sobanoodles	-0.026685693101928525
soft	0.007227890152543898
souffle	0.08360247936103601
soup	-0.043415199112892794
sourcream	0.030614670372393304
southern	0.036587338361079094
southerncuisine	-0.08292410369566736
soysauce	0.01012365965003206
spam	-0.0687928424169464
spices	0.0326845760732458
spicy	0.03638310912979857
spicyfood	-0.008858501122682085
spinach	-0.01519857897596092
spring	-0.03516916637050038
steamed	0.006891124620607263
stirfry	0.01677346694894463
strawberry	-0.026210347307341727
streetfood	0.03429252011126183
stuffedpeppers	-0.008858501122682085
summer	-0.002611088191986074
sushi	-0.034659043751087484
sweet	0.0013957343321254739
sweetandsalty	-0.036801724843192
sweetandsavory	0.034122972894891385
sweettreat	0.0725990890247698
taco	0.007059451363826459
tacos	0.013999559007208217
tangy	-0.013047729487188787
tart	0.04824797557674315
tea	0.030406909130816673
tempura	-0.02039246713457765
tender	0.010445965562864552
texmex	0.005813587891695985
thanksgiving	0.01316261782015294
toast	0.04672275160623865
tomato	-0.05498301952543282
tomatoes	0.004356335518397108
tomatosauce	0.0561708948847712
tortilla	-0.0018205864591892159
tortillabowl	0.007059451363826459
tortillachips	-0.026391250464163817
tortillas	-0.002275833605261268
traditional	0.006891124620607263
twisted	-0.004083876021164377
udonnoodles	-0.02039246713457765
vanilla	0.013004608061593207
vanillaicecream	-0.0029561025314106004
vegan	0.006310409974064459
vegetables	-0.06788885593384399
vegetarian	-0.13463343236066477
warm	0.04219217989395313
whippedcream	-0.0029561025314106004
winter	0.0034950207905349584
yeastdough	-0.004083876021164377
